Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
0.56362915,1.74E-05,2,0.563812256,1.763E-05,2,0.563720703,1.38977E-05,2,0.563720703,1.62964E-05
0.561218262,1.63E-05,2,0.561340332,1.68518E-05,2,0.561340332,1.34399E-05,2,0.561299642,1.55172E-05
0.558807373,1.52E-05,2,0.558898926,1.61377E-05,2,0.558837891,1.30127E-05,2,0.558848063,1.47929E-05
0.556365967,1.43E-05,2,0.556488037,1.54846E-05,2,0.556518555,1.25977E-05,2,0.55645752,1.41246E-05
0.553863525,1.33E-05,2,0.554016113,1.47644E-05,2,0.554046631,1.21857E-05,2,0.553975423,1.34094E-05
0.551452637,1.24E-05,2,0.55154419,1.41998E-05,2,0.551574707,1.18103E-05,2,0.551523845,1.28174E-05
0.549011231,1.16E-05,2,0.549102783,1.35468E-05,2,0.549133301,1.14319E-05,2,0.549082438,1.21887E-05
0.546508789,1.08E-05,2,0.546661377,1.297E-05,2,0.546600342,1.10596E-05,2,0.546590169,1.15967E-05
0.544067383,1.00E-05,2,0.544219971,1.24115E-05,2,0.544189453,1.07117E-05,2,0.544158936,1.10474E-05
0.541656494,9.34E-06,2,0.541778565,1.19415E-05,2,0.5418396,1.03943E-05,2,0.541758219,1.0557E-05
0.539215088,8.56E-06,2,0.539337158,1.13617E-05,2,0.539337158,1.00464E-05,2,0.539296468,9.99044E-06
0.536682129,7.93E-06,2,0.536804199,1.08887E-05,2,0.536865234,9.74121E-06,2,0.536783854,9.51843E-06
0.53427124,7.29E-06,2,0.534393311,1.04218E-05,2,0.534423828,9.42688E-06,2,0.534362793,9.04541E-06
0.531860352,6.71E-06,2,0.531951904,9.95789E-06,2,0.531951904,9.14001E-06,2,0.531921387,8.60189E-06
0.529449463,6.10E-06,2,0.529541016,9.51538E-06,2,0.529479981,8.8501E-06,2,0.529490153,8.1543E-06
0.526977539,5.61E-06,2,0.527130127,9.12476E-06,2,0.527130127,8.5907E-06,2,0.527079264,7.77588E-06
0.524505615,5.01E-06,2,0.524688721,8.65784E-06,2,0.524688721,8.30078E-06,2,0.524627685,7.32218E-06
0.522003174,4.50E-06,2,0.522247315,8.26721E-06,2,0.522155762,8.04443E-06,2,0.522135417,6.93868E-06
0.519683838,4.02E-06,2,0.519714356,7.88879E-06,2,0.519775391,7.78809E-06,2,0.519724528,6.56626E-06
0.517120361,3.59E-06,2,0.517364502,7.55005E-06,2,0.517364502,7.55615E-06,2,0.517283122,6.2325E-06
0.51473999,3.09E-06,2,0.514831543,7.11975E-06,2,0.514892578,7.2876E-06,2,0.51482137,5.83221E-06
0.512390137,2.68E-06,2,0.512451172,6.82373E-06,2,0.512420654,7.06482E-06,2,0.512420654,5.52419E-06
0.509948731,2.25E-06,2,0.509918213,6.427E-06,2,0.510009766,6.82678E-06,2,0.509958903,5.16856E-06
0.507415772,1.81E-06,2,0.507446289,6.10046E-06,2,0.507598877,6.59485E-06,2,0.507486979,4.8347E-06
0.5050354,1.42E-06,2,0.505004883,5.76782E-06,2,0.505065918,6.38123E-06,2,0.5050354,4.5222E-06
0.502563477,1.08E-06,2,0.502655029,5.50232E-06,2,0.502685547,6.17676E-06,2,0.502634684,4.25466E-06
0.500030518,6.44E-07,2,0.500152588,5.1178E-06,2,0.500244141,5.94482E-06,2,0.500142416,3.90208E-06
0.497650147,3.20E-07,2,0.497772217,4.84009E-06,2,0.497772217,5.74036E-06,2,0.497731527,3.63363E-06
