Potential(1),I(1),Scan(1),Potential(2),I(2),Scan(2),Potential(3),I(3),Scan(3),Voltage,Current
0.221679688,9.58E-05,1,0.221832275,2.70233E-05,1,0.221679688,1.45416E-05,1,0.22173055,4.57764E-05
0.224151611,9.57E-05,1,0.224304199,2.69714E-05,1,0.224182129,1.47064E-05,1,0.224212646,4.57937E-05
0.2265625,9.56E-05,1,0.226715088,2.68982E-05,1,0.226623535,1.48804E-05,1,0.226633708,4.57764E-05
0.229125977,9.54E-05,1,0.229248047,2.68677E-05,1,0.229125977,1.50604E-05,1,0.229166667,4.57855E-05
0.231414795,9.51E-05,1,0.2315979,2.67639E-05,1,0.231506348,1.52039E-05,1,0.231506348,4.56869E-05
0.233917236,9.48E-05,1,0.234039307,2.67029E-05,1,0.234039307,1.53717E-05,1,0.233998616,4.56309E-05
0.23638916,9.46E-05,1,0.236480713,2.66296E-05,1,0.236419678,1.55426E-05,1,0.23642985,4.55821E-05
0.238830566,9.42E-05,1,0.238922119,2.65503E-05,1,0.238891602,1.57104E-05,1,0.238881429,4.54997E-05
0.241271973,9.38E-05,1,0.241333008,2.64557E-05,1,0.241333008,1.58478E-05,1,0.241312663,4.53715E-05
0.243713379,9.35E-05,1,0.243896484,2.63763E-05,1,0.243743897,1.6037E-05,1,0.243784587,4.53166E-05
0.246124268,9.30E-05,1,0.246276856,2.62878E-05,1,0.246185303,1.61774E-05,1,0.246195475,4.51609E-05
0.248596191,9.27E-05,1,0.248626709,2.61871E-05,1,0.248626709,1.63422E-05,1,0.248616536,4.50602E-05
0.250946045,9.23E-05,1,0.251068115,2.61139E-05,1,0.25100708,1.65009E-05,1,0.25100708,4.49564E-05
0.253509522,9.19E-05,1,0.253540039,2.60406E-05,1,0.253570557,1.66809E-05,1,0.253540039,4.48802E-05
0.255859375,9.14E-05,1,0.256011963,2.59369E-05,1,0.255950928,1.68121E-05,1,0.255940755,4.47164E-05
0.258331299,9.10E-05,1,0.258453369,2.58362E-05,1,0.258361816,1.698E-05,1,0.258382162,4.46065E-05
0.26083374,9.06E-05,1,0.260894775,2.57507E-05,1,0.260772705,1.71387E-05,1,0.26083374,4.44885E-05
0.263183594,9.02E-05,1,0.263305664,2.56714E-05,1,0.263275147,1.72974E-05,1,0.263254802,4.43827E-05
0.265686035,8.98E-05,1,0.265808106,2.55676E-05,1,0.265777588,1.7453E-05,1,0.265757243,4.42779E-05
0.268157959,8.95E-05,1,0.268310547,2.55157E-05,1,0.268249512,1.7627E-05,1,0.268239339,4.42067E-05
0.27053833,8.90E-05,1,0.2706604,2.53967E-05,1,0.270599365,1.77582E-05,1,0.270599365,4.40582E-05
0.272979736,8.87E-05,1,0.273071289,2.53174E-05,1,0.273040772,1.79138E-05,1,0.273030599,4.39718E-05
0.27545166,8.83E-05,1,0.275543213,2.52441E-05,1,0.275482178,1.80756E-05,1,0.27549235,4.38792E-05
0.277923584,8.80E-05,1,0.278076172,2.51587E-05,1,0.277984619,1.82343E-05,1,0.277994792,4.38019E-05
0.28036499,8.76E-05,1,0.280395508,2.50732E-05,1,0.280395508,1.83716E-05,1,0.280385335,4.36767E-05
0.282745361,8.74E-05,1,0.282928467,2.50214E-05,1,0.282928467,1.85425E-05,1,0.282867432,4.36452E-05
0.285186768,8.69E-05,1,0.285308838,2.49176E-05,1,0.28527832,1.86676E-05,1,0.285257975,4.35099E-05
0.287628174,8.67E-05,1,0.287811279,2.48505E-05,1,0.287811279,1.88202E-05,1,0.287750244,4.34469E-05
0.290130615,8.64E-05,1,0.290161133,2.47925E-05,1,0.290222168,1.89728E-05,1,0.290171305,4.33869E-05
0.292572022,8.62E-05,1,0.292663574,2.47284E-05,1,0.292663574,1.91345E-05,1,0.292633057,4.33584E-05
0.29498291,8.58E-05,1,0.295043945,2.46552E-05,1,0.295074463,1.92566E-05,1,0.295033773,4.32424E-05
0.297424316,8.56E-05,1,0.297424316,2.45972E-05,1,0.297485352,1.94061E-05,1,0.297444661,4.32017E-05
0.299835205,8.54E-05,1,0.299957275,2.45392E-05,1,0.29989624,1.95496E-05,1,0.29989624,4.31488E-05
0.302246094,8.51E-05,1,0.302398682,2.44995E-05,1,0.302398682,1.96869E-05,1,0.302347819,4.31101E-05
0.304840088,8.49E-05,1,0.304870606,2.44476E-05,1,0.304779053,1.98303E-05,1,0.304829915,4.30593E-05
0.307189941,8.48E-05,1,0.307250977,2.44324E-05,1,0.307281494,1.9986E-05,1,0.307240804,4.30654E-05
0.309631348,8.45E-05,1,0.3097229,2.43469E-05,1,0.309661865,2.00989E-05,1,0.309672038,4.29728E-05
0.312133789,8.43E-05,1,0.312133789,2.43317E-05,1,0.312133789,2.02332E-05,1,0.312133789,4.29616E-05
0.314575195,8.42E-05,1,0.314727783,2.43011E-05,1,0.314605713,2.03827E-05,1,0.31463623,4.29606E-05
0.317047119,8.41E-05,1,0.317260742,2.42889E-05,1,0.31716919,2.052E-05,1,0.317159017,4.29616E-05
0.31942749,8.38E-05,1,0.319580078,2.42371E-05,1,0.319519043,2.06268E-05,1,0.31950887,4.28884E-05
0.321929932,8.37E-05,1,0.321990967,2.42493E-05,1,0.322021484,2.07764E-05,1,0.321980794,4.29219E-05
0.324310303,8.35E-05,1,0.324401856,2.42004E-05,1,0.324401856,2.0871E-05,1,0.324371338,4.28558E-05
0.326782227,8.34E-05,1,0.326934815,2.4176E-05,1,0.326873779,2.10022E-05,1,0.326863607,4.28507E-05
0.32925415,8.33E-05,1,0.329284668,2.41974E-05,1,0.32925415,2.11273E-05,1,0.329264323,4.28691E-05
